Trial,B,D,E,BD,BE,Distance
17,-1,-1,-1,1,1,-4
38,-1,-1,-1,1,1,-2
33,-1,-1,-1,1,1,9
68,-1,-1,-1,1,1,10
55,-1,-1,-1,1,1,17
56,-1,-1,-1,1,1,6
73,-1,-1,-1,1,1,13
19,-1,-1,-1,1,1,8
29,-1,-1,-1,1,1,12
41,-1,-1,-1,1,1,9
21,1,-1,-1,-1,-1,-41
53,1,-1,-1,-1,-1,-30
5,1,-1,-1,-1,-1,-34
24,1,-1,-1,-1,-1,-35
70,1,-1,-1,-1,-1,-40
52,1,-1,-1,-1,-1,-31
23,1,-1,-1,-1,-1,-26
1,1,-1,-1,-1,-1,-29
71,1,-1,-1,-1,-1,-27
42,1,-1,-1,-1,-1,-34
47,-1,1,-1,-1,1,94
74,-1,1,-1,-1,1,73
79,-1,1,-1,-1,1,116
14,-1,1,-1,-1,1,112
12,-1,1,-1,-1,1,91
57,-1,1,-1,-1,1,111
69,-1,1,-1,-1,1,100
28,-1,1,-1,-1,1,94
78,-1,1,-1,-1,1,83
9,-1,1,-1,-1,1,79
46,-1,-1,1,1,-1,-97
35,-1,-1,1,1,-1,-95
67,-1,-1,1,1,-1,-102
32,-1,-1,1,1,-1,-96
62,-1,-1,1,1,-1,-99
76,-1,-1,1,1,-1,-104
59,-1,-1,1,1,-1,-101
13,-1,-1,1,1,-1,-99
54,-1,-1,1,1,-1,-96
25,-1,-1,1,1,-1,-101
49,1,1,-1,1,-1,-100
72,1,1,-1,1,-1,-86
22,1,1,-1,1,-1,-102
63,1,1,-1,1,-1,-97
15,1,1,-1,1,-1,-90
2,1,1,-1,1,-1,-85
80,1,1,-1,1,-1,-91
58,1,1,-1,1,-1,-96
51,1,1,-1,1,-1,-91
75,1,1,-1,1,-1,-89
44,1,-1,1,-1,1,-132
65,1,-1,1,-1,1,-130
16,1,-1,1,-1,1,-135
3,1,-1,1,-1,1,-133
8,1,-1,1,-1,1,-135
27,1,-1,1,-1,1,-135
37,1,-1,1,-1,1,-137
4,1,-1,1,-1,1,-133
6,1,-1,1,-1,1,-129
20,1,-1,1,-1,1,-131
26,-1,1,1,-1,-1,-95
34,-1,1,1,-1,-1,-107
36,-1,1,1,-1,-1,-108
64,-1,1,1,-1,-1,-99
60,-1,1,1,-1,-1,-96
66,-1,1,1,-1,-1,-95
18,-1,1,1,-1,-1,-102
45,-1,1,1,-1,-1,-93
10,-1,1,1,-1,-1,-97
61,-1,1,1,-1,-1,-103
50,1,1,1,1,1,-140
31,1,1,1,1,1,-155
39,1,1,1,1,1,-133
11,1,1,1,1,1,-125
77,1,1,1,1,1,-128
7,1,1,1,1,1,-132
48,1,1,1,1,1,-126
30,1,1,1,1,1,-133
40,1,1,1,1,1,-125
43,1,1,1,1,1,-126
8,,,,,,
